지역구분_시,지역구분_읍/면/동,Latitude,Longitude,총 카드이용금액,총 카드이용자수,총 카드이용건수
서귀포시,남원읍,33.3283413,126.6661355,385050657.4,4865.714286,11314.85714
서귀포시,대륜동,33.2611647,126.5231137,184283873.9,3614.954545,6580.227273
서귀포시,대정읍,33.2578881,126.2467175,655609323.7,7365.043478,18094.17391
서귀포시,대천동,33.2649399,126.4862733,445572058,4074.434783,13521.17391
서귀포시,동홍동,33.2674043,126.5663635,662249089.9,4486.045455,17742.18182
서귀포시,서홍동,33.2870377,126.5409432,180451822.1,2191.272727,6038.227273
서귀포시,성산읍,33.4180535,126.8648302,969479602.3,15596.91667,27323.875
서귀포시,송산동,37.2119423,127.0108343,436782776.1,4921.35,8391.6
서귀포시,안덕면,33.2926011,126.3476551,742864732.6,14299.875,23239.20833
서귀포시,영천동,37.210601,127.1061838,195383547.2,1994.7,4315.2
서귀포시,예래동,33.2790117,126.4031698,658555374.1,9108.166667,13491.04167
서귀포시,정방동,33.2464333,126.5658838,621595153.1,6589,15645.22727
서귀포시,중문동,33.3064679,126.4426404,832082215.3,9779.818182,20644.09091
서귀포시,중앙동,37.3238981,126.8369716,550544510,7202.73913,19396.65217
서귀포시,천지동,33.2460651,126.553641,487226933.3,6486,14741
서귀포시,표선면,33.3747697,126.7684581,565814326.1,5564.954545,12028.5
서귀포시,효돈동,33.2600837,126.6112375,144770702.2,3875.47619,5776.952381
제주시,건입동,33.5153591,126.5420032,315432180.9,4764.636364,10835.40909
제주시,구좌읍,33.4980532,126.7954504,549115203.7,12029.34783,20808.47826
제주시,노형동,33.4484672,126.4850992,3324390296,18577.54167,112085.75
제주시,도두동,33.501536,126.4781879,356223767.5,5391.136364,9082.5
제주시,봉개동,33.4571323,126.6130534,82748002.71,1493.714286,2980.238095
제주시,삼도1동,33.5030958,126.5198099,298882861.3,3843.409091,10393.40909
제주시,삼도2동,33.5120406,126.5215055,543558926.4,7236.681818,17758.36364
제주시,삼양동,37.6243311,127.0167583,388511288.4,3154.863636,12487.13636
제주시,아라동,33.4612315,126.5550836,889528711.8,6525.181818,36915.86364
제주시,애월읍,33.4110784,126.3939276,856187851.3,14220.16667,29437.91667
제주시,연동,33.4659777,126.4934011,3352835622,20673.95833,97967.625
제주시,오라동,33.4633481,126.5131776,419088104.2,5710.090909,14924.5
제주시,외도동,33.4827496,126.4404592,573487090.7,3783.772727,20832.18182
제주시,용담1동,33.5081637,126.5150147,291615545.7,3511.681818,6399.227273
제주시,용담2동,33.5084457,126.4990864,1157887037,28103.5,48335.70833
제주시,우도면,33.5054213,126.9554832,257198354.3,7543.047619,10593.47619
제주시,이도1동,33.5060359,126.5275776,404418121.2,6905.863636,14243.90909
제주시,이도2동,33.4909191,126.5341622,3692961716,15972.47826,139160.913
제주시,이호동,33.4946053,126.458999,77573877.75,1809.5,3273.15
제주시,일도1동,33.5130207,126.5272881,446496868,7735.681818,14134.22727
제주시,일도2동,33.5061057,126.541256,1164846905,10428.54545,44133.36364
제주시,조천읍,33.4721666,126.6674663,746341609.2,10499.33333,22033.83333
제주시,추자면,33.9461166,126.3237661,23573211.38,115.5384615,428.6153846
제주시,한경면,33.3227575,126.2238176,232841896.9,4003.1,6851.4
제주시,한림읍,33.3764716,126.2852587,737923226.4,8931.73913,21845.52174
제주시,화북동,33.507826,126.5640243,528764584.7,3706.772727,21582.27273