timeline,mid_addr,avg_operaCnt
최근,강정동,2069
과거,강정동,234
최근,건입동,1802
과거,건입동,903
최근,구좌읍,7097
과거,구좌읍,1321
최근,남원읍,3940
과거,남원읍,1193
최근,내도동,86
과거,내도동,7
최근,노형동,11499
과거,노형동,4888
최근,대정읍,5606
과거,대정읍,1831
최근,대포동,242
과거,대포동,56
최근,도남동,2548
과거,도남동,1011
최근,도두이동,76
과거,도두이동,14
최근,도두일동,974
과거,도두일동,270
최근,도련이동,50
과거,도련이동,7
최근,도련일동,766
과거,도련일동,25
최근,도순동,10
과거,도순동,0
최근,도평동,29
과거,도평동,1
최근,동홍동,3467
과거,동홍동,1168
최근,법환동,1106
과거,법환동,282
최근,보목동,71
과거,보목동,14
최근,봉개동,461
과거,봉개동,101
최근,삼도이동,2882
과거,삼도이동,1269
최근,삼도일동,2495
과거,삼도일동,1151
최근,삼양삼동,11
과거,삼양삼동,3
최근,삼양이동,818
과거,삼양이동,161
최근,삼양일동,204
과거,삼양일동,21
최근,상예동,185
과거,상예동,19
최근,상효동,56
과거,상효동,8
최근,색달동,998
과거,색달동,337
최근,서귀동,9319
과거,서귀동,5248
최근,서호동,1088
과거,서호동,135
최근,서홍동,1580
과거,서홍동,331
최근,성산읍,6719
과거,성산읍,1810
최근,신효동,43
과거,신효동,7
최근,아라이동,876
과거,아라이동,235
최근,아라일동,3817
과거,아라일동,518
최근,안덕면,5522
과거,안덕면,1111
최근,애월읍,9456
과거,애월읍,2220
최근,연동,15229
과거,연동,8305
과거,영남동,1
최근,영평동,181
과거,영평동,10
최근,오등동,145
과거,오등동,10
최근,오라삼동,73
과거,오라삼동,12
최근,오라이동,586
과거,오라이동,76
최근,오라일동,373
과거,오라일동,196
최근,외도이동,145
과거,외도이동,32
최근,외도일동,2756
과거,외도일동,711
최근,용담삼동,627
과거,용담삼동,306
최근,용담이동,1764
과거,용담이동,744
최근,용담일동,1460
과거,용담일동,768
최근,우도면,1301
과거,우도면,189
최근,월평동,73
과거,월평동,14
최근,이도이동,11031
과거,이도이동,5358
최근,이도일동,2184
과거,이도일동,1149
최근,이호이동,102
과거,이호이동,15
최근,이호일동,234
과거,이호일동,38
최근,일도이동,5511
과거,일도이동,3133
최근,일도일동,1874
과거,일도일동,640
최근,조천읍,7384
과거,조천읍,1701
최근,죽정동,0
최근,중문동,2202
과거,중문동,731
최근,추자면,155
과거,추자면,66
최근,토평동,390
과거,토평동,111
최근,표선면,4617
과거,표선면,1841
최근,하예동,154
과거,하예동,22
최근,하원동,26
과거,하원동,4
최근,하효동,480
과거,하효동,96
최근,한경면,2860
과거,한경면,444
최근,한림읍,7855
과거,한림읍,2276
최근,해안동,170
과거,해안동,8
최근,호근동,266
과거,호근동,20
최근,화북이동,52
과거,화북이동,7
최근,화북일동,2477
과거,화북일동,888
최근,회수동,55
과거,회수동,11
최근,회천동,23
과거,회천동,8